Machine_ID,Vibration_mm_s,Temperature_C,Pressure_Pa,Running_Hours,Fault_Type
103,8.863052482686685,32.45033037747359,1085.8520714036108,4549,Overheating
436,4.145924250748098,53.86602567017647,4852.93627503766,3142,Overheating
861,8.654999019192473,65.24949841537014,4151.333762152954,1803,No Fault
271,3.3934613112309377,39.62655191076328,993.7571056120405,631,No Fault
107,4.787932877094125,78.51039781699,1047.8839894145528,892,Motor Failure
72,2.5342609803439977,30.543055771189007,3175.1323471067853,4084,Overheating
701,6.2642843795825955,40.9589381482124,2052.0012837793247,3175,Bearing Failure
21,9.31083003657328,67.75179394047592,657.0763658289918,2966,Motor Failure
615,5.931437864390408,76.435191532424,2937.3867852487388,1725,Overheating
122,3.72032675702194,89.58180167510454,2245.302948586311,3205,Bearing Failure
467,6.330357013914755,75.85728237575054,954.844215672842,961,Overheating
215,1.606286106188488,73.66565256656628,4108.641765151922,2301,Pressure Leak
331,8.497931722388588,55.632174512793185,4617.845443754627,3773,Bearing Failure
459,5.027755557018527,30.083487659242092,3904.672703063585,4485,Pressure Leak
88,4.5441476783567785,37.81035181781543,4200.900395073248,651,No Fault
373,5.772783096081673,64.74604540914254,1474.2075526975282,2769,Motor Failure
100,6.123054765104622,73.88344257988729,1686.0782791337044,4674,Overheating
872,1.1459822560386173,57.13413845327006,1438.3739313463448,2285,Motor Failure
664,6.643554991010622,77.49413574934536,3942.785441145038,3960,Overheating
131,2.677385122839766,63.92104919659162,4765.626855205237,2336,Pressure Leak
662,6.9255736925593085,34.82145271363029,3725.767430302562,1897,Bearing Failure
309,7.902813149457771,42.48105631291668,4466.600441958002,1575,Bearing Failure
770,7.735626567972683,84.5998845108563,3374.1459269742763,2508,Overheating
344,5.472508706671002,77.11932853058858,2244.4695525145958,1993,Pressure Leak
492,5.18152903079676,88.15952915581218,2415.9272671863732,1635,Overheating
414,1.7858836520547055,37.641221192860876,838.9464447533218,2048,Overheating
806,7.478115353628221,94.3644647499798,641.5573786071174,1284,Overheating
386,2.9426844240204293,43.61143640674568,3629.640218850848,1920,Bearing Failure
192,4.970258805361519,30.76569195863173,2472.930014050313,2935,Overheating
956,3.0584668363476504,94.83249103848102,2984.967806245833,3981,Bearing Failure
277,1.7044552669972384,48.26980255393235,3009.4756143008735,4151,No Fault
161,6.166019272025629,73.4212644133164,1748.1911599998564,2563,Pressure Leak
460,0.9889883134061345,41.48435042145984,2641.516298732708,2520,No Fault
314,7.2378071071358,67.71485459294422,2618.42099750466,2649,Overheating
22,3.35828115735005,88.76227411954636,2247.9224955253567,1450,Bearing Failure
253,0.5012122370403679,50.81177588284851,4193.039225304818,524,Pressure Leak
748,5.1001622531350685,73.56650844288335,2530.2380165941813,517,Motor Failure
857,0.9216671767484281,42.21373327189707,3216.4003602769453,4325,Pressure Leak
561,2.9855260203880953,70.61170091671714,4529.840541713717,1069,Pressure Leak
475,6.862788387101445,51.86927286813816,4398.051302865151,1855,Overheating
